DIRECTION,DETECTOR_ID,DATE_TIME,DETECT_DATE,DETECT_TIME,TOTAL_VOL,AVG_SPEED,AVG_OCC,AVG_TT
EB,11,6/1/15 7:00,6/1/15,7:00:00,367,39.66666667,6,91
EB,11,6/1/15 7:15,6/1/15,7:15:00,426,38,7.333333333,96
EB,11,6/1/15 7:30,6/1/15,7:30:00,511,34.33333333,10.66666667,108.3333333
EB,11,6/1/15 7:45,6/1/15,7:45:00,558,24.66666667,19.33333333,152.6666667
EB,11,6/1/15 8:00,6/1/15,8:00:00,609,16.66666667,28.66666667,251
EB,11,6/1/15 8:15,6/1/15,8:15:00,610,30.66666667,18.33333333,132.3333333
EB,11,6/1/15 8:30,6/1/15,8:30:00,656,31.33333333,16.66666667,122
EB,11,6/1/15 8:45,6/1/15,8:45:00,707,30,20,133
EB,11,6/1/15 9:00,6/1/15,9:00:00,657,32.66666667,18,119.3333333
EB,11,6/1/15 9:15,6/1/15,9:15:00,607,36,13.66666667,107.3333333
EB,11,6/1/15 9:30,6/1/15,9:30:00,550,37.33333333,11,99.33333333
EB,11,6/1/15 9:45,6/1/15,9:45:00,537,39.33333333,9.333333333,94.33333333
EB,11,6/1/15 10:00,6/1/15,10:00:00,528,39,9.666666667,94.33333333
EB,11,6/1/15 10:15,6/1/15,10:15:00,482,39.66666667,8,92.33333333
EB,11,6/1/15 10:30,6/1/15,10:30:00,490,39.33333333,8.666666667,94
EB,11,6/1/15 10:45,6/1/15,10:45:00,508,36.66666667,10.33333333,102.6666667
EB,11,6/1/15 11:00,6/1/15,11:00:00,506,37.66666667,10.33333333,99.66666667
EB,11,6/1/15 11:15,6/1/15,11:15:00,473,38.66666667,9,96
EB,11,6/1/15 11:30,6/1/15,11:30:00,493,37,10.33333333,101
EB,11,6/1/15 11:45,6/1/15,11:45:00,507,37.66666667,9.666666667,98.33333333
EB,11,6/1/15 12:00,6/1/15,12:00:00,511,36.33333333,10.66666667,102.6666667
EB,11,6/1/15 12:15,6/1/15,12:15:00,510,36.66666667,11,103
EB,11,6/1/15 12:30,6/1/15,12:30:00,479,38,9.666666667,98.33333333
EB,11,6/1/15 12:45,6/1/15,12:45:00,524,33,15.66666667,115.3333333
EB,11,6/1/15 13:00,6/1/15,13:00:00,569,33,13,116.6666667
EB,11,6/1/15 13:15,6/1/15,13:15:00,489,36.33333333,10,103.6666667
EB,11,6/1/15 13:30,6/1/15,13:30:00,514,36.66666667,10.33333333,101.3333333
EB,11,6/1/15 13:45,6/1/15,13:45:00,534,36,11,104.3333333
EB,11,6/1/15 14:00,6/1/15,14:00:00,491,38.33333333,9,96.33333333
EB,11,6/1/15 14:15,6/1/15,14:15:00,492,38,9.333333333,97.66666667
EB,11,6/1/15 14:30,6/1/15,14:30:00,511,26.66666667,18,152.3333333
EB,11,6/1/15 14:45,6/1/15,14:45:00,531,33.66666667,11.66666667,112
EB,11,6/1/15 15:00,6/1/15,15:00:00,523,37.33333333,10,99.33333333
EB,11,6/1/15 15:15,6/1/15,15:15:00,520,35,11.66666667,106.3333333
EB,11,6/1/15 15:30,6/1/15,15:30:00,564,28.33333333,17,139
EB,11,6/1/15 15:45,6/1/15,15:45:00,512,37.66666667,9.666666667,98.66666667
EB,11,6/1/15 16:00,6/1/15,16:00:00,576,36.33333333,12.33333333,104.3333333
EB,11,6/1/15 16:15,6/1/15,16:15:00,495,38.33333333,8.666666667,94.66666667
EB,11,6/1/15 16:30,6/1/15,16:30:00,533,36.66666667,11.66666667,103
EB,11,6/1/15 16:45,6/1/15,16:45:00,583,32,16.33333333,120
EB,11,6/1/15 17:00,6/1/15,17:00:00,604,34.33333333,15,110.6666667
EB,11,6/1/15 17:15,6/1/15,17:15:00,589,36.66666667,13.66666667,103.6666667
EB,11,6/1/15 17:30,6/1/15,17:30:00,624,33,15.66666667,114.3333333
EB,11,6/1/15 17:45,6/1/15,17:45:00,635,32.33333333,15.33333333,118.6666667
EB,11,6/1/15 18:00,6/1/15,18:00:00,616,33.33333333,14.33333333,113.3333333
EB,11,6/1/15 18:15,6/1/15,18:15:00,659,31.66666667,17.33333333,118.6666667
EB,11,6/1/15 18:30,6/1/15,18:30:00,637,33.66666667,15.33333333,113
EB,11,6/1/15 18:45,6/1/15,18:45:00,594,36,11.33333333,102.3333333
EB,11,6/2/15 7:00,6/2/15,7:00:00,361,40.33333333,5.666666667,90
EB,11,6/2/15 7:15,6/2/15,7:15:00,426,38.33333333,7.333333333,94.33333333
EB,11,6/2/15 7:30,6/2/15,7:30:00,505,32.33333333,12,121
EB,11,6/2/15 7:45,6/2/15,7:45:00,579,25,20.66666667,166.6666667
EB,11,6/2/15 8:00,6/2/15,8:00:00,617,19.33333333,25.66666667,199.6666667
EB,11,6/2/15 8:15,6/2/15,8:15:00,644,33,14.33333333,117
EB,11,6/2/15 8:30,6/2/15,8:30:00,708,33,17.66666667,117.3333333
EB,11,6/2/15 8:45,6/2/15,8:45:00,845,32.33333333,17.33333333,119.6666667
EB,11,6/2/15 9:00,6/2/15,9:00:00,954,34,16.66666667,117.3333333
EB,11,6/2/15 9:15,6/2/15,9:15:00,599,36.33333333,12.66666667,105.6666667
EB,11,6/2/15 9:30,6/2/15,9:30:00,614,35.33333333,14.66666667,106
EB,11,6/2/15 9:45,6/2/15,9:45:00,539,37.33333333,13,99.66666667
EB,11,6/2/15 10:00,6/2/15,10:00:00,509,39.33333333,8.666666667,95.33333333
